CMDLINE c:\programdata\anaconda3\python.exe mem_test.py
MEM 140.652344 1554307707.2742
MEM 140.652344 1554307707.3743
MEM 140.652344 1554307707.4743
MEM 140.652344 1554307707.5743
MEM 140.652344 1554307707.6743
MEM 140.652344 1554307707.7744
MEM 140.652344 1554307707.8744
MEM 140.652344 1554307707.9744
MEM 140.652344 1554307708.0744
MEM 140.652344 1554307708.1745
MEM 140.652344 1554307708.2745
MEM 140.652344 1554307708.3745
MEM 140.652344 1554307708.4745
MEM 140.652344 1554307708.5745
MEM 140.652344 1554307708.6746
MEM 140.652344 1554307708.7746
MEM 140.652344 1554307708.8746
MEM 140.652344 1554307708.9746
MEM 140.652344 1554307709.0747
MEM 140.652344 1554307709.1747
MEM 140.652344 1554307709.2747
MEM 140.652344 1554307709.3747
MEM 140.652344 1554307709.4747
MEM 140.652344 1554307709.5748
MEM 140.652344 1554307709.6748
MEM 140.652344 1554307709.7748
MEM 140.652344 1554307709.8748
MEM 140.652344 1554307709.9748
MEM 140.652344 1554307710.0749
MEM 140.652344 1554307710.1749
MEM 140.652344 1554307710.2749
MEM 140.652344 1554307710.3749
MEM 140.652344 1554307710.4750
MEM 140.652344 1554307710.5750
MEM 140.652344 1554307710.6750
MEM 140.652344 1554307710.7750
MEM 140.652344 1554307710.8751
MEM 140.652344 1554307710.9751
MEM 140.652344 1554307711.0751
MEM 140.656250 1554307711.1751
MEM 140.656250 1554307711.2752
MEM 140.656250 1554307711.3752
MEM 140.656250 1554307711.4752
MEM 140.656250 1554307711.5752
MEM 140.656250 1554307711.6752
MEM 140.656250 1554307711.7753
MEM 140.656250 1554307711.8753
MEM 140.656250 1554307711.9753
MEM 140.656250 1554307712.0753
MEM 140.656250 1554307712.1753
MEM 140.656250 1554307712.2754
MEM 140.656250 1554307712.3754
MEM 140.656250 1554307712.4754
MEM 140.656250 1554307712.5754
MEM 140.656250 1554307712.6755
MEM 140.656250 1554307712.7755
MEM 140.656250 1554307712.8755
MEM 140.656250 1554307712.9755
MEM 140.656250 1554307713.0756
MEM 140.656250 1554307713.1756
MEM 140.660156 1554307713.2756
MEM 140.675781 1554307713.3756
MEM 138.839844 1554307713.4756
